"","index.lci","X25.","index","X75.","index.uci","node","year","species","nknots"
"popr[35]2",142804.76543989,157037.293426557,164657.711919099,172835.66526714,190030.350746561,"popr[35]",2018,"RHAU",6
"popr[36]2",140985.288379038,156527.046559682,164775.138096054,173617.7349258,192580.062475502,"popr[36]",2019,"RHAU",6
"popr[1]3",23807.5405623106,26691.7253682979,27944.3377053537,29434.1062701377,33725.492727838,"popr[1]",1984,"TUPU",6
"popr[2]3",24462.9183081722,26675.8660272848,27652.3702117693,28782.7872614909,31954.024852357,"popr[2]",1985,"TUPU",6
"popr[3]3",25105.5374724286,26651.0874239884,27354.8720658379,28155.3071345916,30306.3927817457,"popr[3]",1986,"TUPU",6
"popr[4]3",25650.9658655348,26603.9168173056,27045.2730295483,27552.9010245149,28847.5369591661,"popr[4]",1987,"TUPU",6
"popr[5]3",26067.7973393883,26521.1288033294,26731.565722667,26967.8880118755,27573.0778672708,"popr[5]",1988,"TUPU",6
"popr[6]3",26400,26400,26400,26400,26400,"popr[6]",1989,"TUPU",6
"popr[7]3",25300.0477675998,25831.2968445481,26050.9193974303,26252.6628015796,26674.7578756108,"popr[7]",1990,"TUPU",6
"popr[8]3",24207.6707251586,25251.5244655738,25690.3080460915,26091.7585521375,26943.9982880683,"popr[8]",1991,"TUPU",6
"popr[9]3",23096.5234085336,24649.8098443195,25322.6943181173,25930.0860259473,27246.113017839,"popr[9]",1992,"TUPU",6
"popr[10]3",21957.4700717329,24042.3593425224,24945.2170339066,25769.7511746806,27607.8622611386,"popr[10]",1993,"TUPU",6
"popr[11]3",20861.6142640645,23444.2774764043,24577.2324202372,25609.3966422506,27953.945801541,"popr[11]",1994,"TUPU",6
"popr[12]3",19854.4286133031,22880.2829420446,24218.3540137653,25429.6005657994,28232.77104113,"popr[12]",1995,"TUPU",6
"popr[13]3",19019.5055670106,22362.1467509236,23865.4147876365,25235.3387879474,28412.6313022169,"popr[13]",1996,"TUPU",6
"popr[14]3",18389.9297533564,21913.8948800466,23548.0629843526,25022.431090303,28447.1142498857,"popr[14]",1997,"TUPU",6
"popr[15]3",17881.1620120469,21529.6266651424,23250.9768732759,24778.1742388846,28331.9407356424,"popr[15]",1998,"TUPU",6
"popr[16]3",17595.8594129164,21226.1294915197,22980.9698074974,24553.8245706724,28165.645886339,"popr[16]",1999,"TUPU",6
"popr[17]3",17432.5842781891,21008.3604656055,22742.3565939879,24345.5619668057,27876.2463753765,"popr[17]",2000,"TUPU",6
"popr[18]3",17325.1019817149,20859.4329457945,22548.3868928683,24184.2660359536,27658.51043971,"popr[18]",2001,"TUPU",6
"popr[19]3",17276.0194116639,20739.6195210849,22410.3192846168,24051.9513482773,27576.7494476812,"popr[19]",2002,"TUPU",6
"popr[20]3",17236.2101789361,20673.3799647458,22325.6604252916,23976.8478294479,27595.6788399322,"popr[20]",2003,"TUPU",6
