"","index.lci","X25.","index","X75.","index.uci","node","year","species","nknots"
"pop[5]3",51.7895232099986,60.0413500659036,64.2438945539059,68.6494361683693,79.231825897504,"pop[5]",1988,"TUPU",6
"pop[6]3",51.3124617779384,59.3245700254329,63.3620699407558,67.6891281812234,77.9077889762179,"pop[6]",1989,"TUPU",6
"pop[7]3",50.734720102457,58.5480080318039,62.4973380471036,66.6692670111874,76.4762545777952,"pop[7]",1990,"TUPU",6
"pop[8]3",50.1205132369064,57.7121786117057,61.604697681234,65.6011813110596,75.0856611057811,"pop[8]",1991,"TUPU",6
"pop[9]3",49.4987073214383,56.890801164623,60.672145775038,64.4994667159643,73.4953168224947,"pop[9]",1992,"TUPU",6
"pop[10]3",48.7846315506215,56.0388551356412,59.7553774259012,63.4899584159747,72.0845014357009,"pop[10]",1993,"TUPU",6
"pop[11]3",47.766168571718,55.1386302148978,58.7886468528992,62.5157000382534,70.8987445677589,"pop[11]",1994,"TUPU",6
"pop[12]3",46.6323042592432,54.2366633365814,57.8834349796947,61.6454552573332,69.9644632403552,"pop[12]",1995,"TUPU",6
"pop[13]3",45.5700485933197,53.2814146552301,57.0250948388936,60.7625071043349,69.1925961827972,"pop[13]",1996,"TUPU",6
"pop[14]3",44.5694199007271,52.4275745044047,56.1956471257396,59.9677293918085,68.2510151055717,"pop[14]",1997,"TUPU",6
"pop[15]3",43.8832836604583,51.7172245247282,55.4873338463749,59.2489962961022,67.3993565890435,"pop[15]",1998,"TUPU",6
"pop[16]3",43.3872427936047,51.1299694787733,54.8503021006239,58.5586999832883,66.5863156015521,"pop[16]",1999,"TUPU",6
"pop[17]3",43.0946901173096,50.6605010353897,54.3236186294413,57.9943828574123,65.7665231077301,"pop[17]",2000,"TUPU",6
"pop[18]3",42.8801156150744,50.3029046054655,53.9325467476889,57.5427871906524,65.1929373662016,"pop[18]",2001,"TUPU",6
"pop[19]3",42.7537506258683,50.071422663038,53.6722693933859,57.2306646836605,64.7840915555423,"pop[19]",2002,"TUPU",6
"pop[20]3",42.6092354116491,49.9329263269338,53.5658996655455,57.0389056223036,64.6256923728857,"pop[20]",2003,"TUPU",6
"pop[21]3",42.4953268961518,49.8754416310261,53.5418936848328,57.0295587619179,64.6827312807575,"pop[21]",2004,"TUPU",6
"pop[22]3",42.5581064541279,49.9784915935944,53.5408595568026,57.0523443932633,64.6701199007554,"pop[22]",2005,"TUPU",6
"pop[23]3",43.0568858228393,50.21800066295,53.6469337704828,57.0911518768841,64.7306315939794,"pop[23]",2006,"TUPU",6
"pop[24]3",43.667930243341,50.5294920510765,53.7743162223841,57.1641715665732,64.7023979058018,"pop[24]",2007,"TUPU",6
"pop[25]3",44.5505330917515,50.9036582567771,53.9886307290146,57.2027595841584,64.5055740922057,"pop[25]",2008,"TUPU",6
"pop[26]3",45.3296420248238,51.2959118919143,54.1814038141898,57.3057210394342,64.4050452554353,"pop[26]",2009,"TUPU",6
"pop[27]3",45.9645616981772,51.6164376626426,54.439929606689,57.4663159276135,64.532605047425,"pop[27]",2010,"TUPU",6
"pop[28]3",46.3931310153446,51.8498521828363,54.6403369089066,57.7028035707156,64.7023543099838,"pop[28]",2011,"TUPU",6
"pop[29]3",46.5115744221929,51.977344388391,54.8473053363098,57.9439496303,65.2098913990675,"pop[29]",2012,"TUPU",6
"pop[30]3",46.5016131036967,52.0156775286971,54.9692119375721,58.2078397527234,65.9438361723734,"pop[30]",2013,"TUPU",6
"pop[31]3",46.3419171762306,51.9884772764211,55.0370447074804,58.3826485531164,66.4809160000176,"pop[31]",2014,"TUPU",6
"pop[32]3",46.2340646805288,51.9783564828718,55.0491844582786,58.5401709779485,66.8004201393715,"pop[32]",2015,"TUPU",6
"pop[33]3",46.0115138098618,51.8768337907307,55.1038581969421,58.6952096690226,67.1734816165636,"pop[33]",2016,"TUPU",6
"pop[34]3",45.6302512133226,51.7136665522714,55.0817154018643,58.8465857413967,67.7078286197346,"pop[34]",2017,"TUPU",6
"pop[35]3",44.9314136841403,51.4228526266635,55.0340248330677,59.0652967234776,68.6288008327184,"pop[35]",2018,"TUPU",6
"pop[36]3",44.0847320199597,51.0386232368411,54.9554783826344,59.3168896734932,70.0287469413162,"pop[36]",2019,"TUPU",6
